Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/DPM_Project,3170,3170,0,"100.00"
/DPM_Project/.git,50,50,0,"100.00"
/DPM_Project/.git/hooks,497,497,0,"100.00"
/DPM_Project/.git/info,6,6,0,"100.00"
/DPM_Project/.git/logs,11,11,0,"100.00"
/DPM_Project/.git/logs/refs/heads,11,11,0,"100.00"
/DPM_Project/.git/logs/refs/remotes/origin,11,11,0,"100.00"
/DPM_Project/.git/objects/00,9,9,0,"100.00"
/DPM_Project/.git/objects/01,3,3,0,"100.00"
/DPM_Project/.git/objects/02,6,6,0,"100.00"
/DPM_Project/.git/objects/04,106,106,0,"100.00"
/DPM_Project/.git/objects/06,29,29,0,"100.00"
/DPM_Project/.git/objects/09,6,6,0,"100.00"
/DPM_Project/.git/objects/0a,1,1,0,"100.00"
/DPM_Project/.git/objects/0b,145,145,0,"100.00"
/DPM_Project/.git/objects/0c,3,3,0,"100.00"
/DPM_Project/.git/objects/0d,8,8,0,"100.00"
/DPM_Project/.git/objects/0e,123,123,0,"100.00"
/DPM_Project/.git/objects/0f,157,157,0,"100.00"
/DPM_Project/.git/objects/11,18,18,0,"100.00"
/DPM_Project/.git/objects/12,3,3,0,"100.00"
/DPM_Project/.git/objects/13,11,11,0,"100.00"
/DPM_Project/.git/objects/17,16,16,0,"100.00"
/DPM_Project/.git/objects/19,7,7,0,"100.00"
/DPM_Project/.git/objects/1a,2,2,0,"100.00"
/DPM_Project/.git/objects/1b,2,2,0,"100.00"
/DPM_Project/.git/objects/1c,35,35,0,"100.00"
/DPM_Project/.git/objects/1d,2,2,0,"100.00"
/DPM_Project/.git/objects/21,56,56,0,"100.00"
/DPM_Project/.git/objects/23,124,124,0,"100.00"
/DPM_Project/.git/objects/25,14,14,0,"100.00"
/DPM_Project/.git/objects/27,6,6,0,"100.00"
/DPM_Project/.git/objects/28,1,1,0,"100.00"
/DPM_Project/.git/objects/29,9,9,0,"100.00"
/DPM_Project/.git/objects/2b,19,19,0,"100.00"
/DPM_Project/.git/objects/2c,2,2,0,"100.00"
/DPM_Project/.git/objects/2d,118,118,0,"100.00"
/DPM_Project/.git/objects/2e,6,6,0,"100.00"
/DPM_Project/.git/objects/2f,10,10,0,"100.00"
/DPM_Project/.git/objects/33,33,33,0,"100.00"
/DPM_Project/.git/objects/34,3,3,0,"100.00"
/DPM_Project/.git/objects/35,4,4,0,"100.00"
/DPM_Project/.git/objects/37,9,9,0,"100.00"
